,Timestamp,Data
3134,102836.60141971604,[-39.]
3135,102836.60909681626,[-41.]
3136,102836.61677391648,[-36.]
3137,102836.6244510167,[-31.]
3138,102836.63212811691,[-34.]
3139,102836.63980521713,[-36.]
3140,102836.64748231735,[-34.]
3141,102836.65515941757,[-31.]
3142,102836.66283651779,[-29.]
3143,102836.670513618,[-12.]
3144,102836.67819071822,[12.]
3145,102836.68586781844,[12.]
3146,102836.69354491866,[-12.]
3147,102836.70122201888,[-29.]
3148,102836.7088991191,[-29.]
3149,102836.7165762193,[-34.]
3150,102836.72425331952,[-39.]
3151,102836.73193041974,[-36.]
3152,102836.73960751996,[-29.]
3153,102836.74728462019,[-26.]
3154,102836.75496172039,[-26.]
3155,102836.76263882061,[-29.]
3156,102836.77031592083,[-31.]
3157,102836.77799302105,[-29.]
3158,102836.78567012127,[-29.]
3159,102836.7933472215,[-31.]
3160,102836.8010243217,[-46.]
3161,102836.80870142192,[-80.]
3162,102836.81637852214,[-53.]
3163,102836.82405562236,[244.]
3164,102836.83173272258,[760.]
3165,102836.8394098228,[1044.]
3166,102836.84708692301,[672.]
3167,102836.85476402323,[-46.]
3168,102836.86244112345,[-224.]
3169,102836.87011822367,[29.]
3170,102836.87779532389,[-4.]
3171,102836.8854724241,[-127.]
3172,102836.89314952432,[-56.]
3173,102836.90082662454,[-24.]
3174,102836.90850372476,[-61.]
3175,102836.91618082498,[-39.]
3176,102836.9238579252,[-9.]
3177,102836.9315350254,[-14.]
3178,102836.93921212562,[-4.]
3179,102836.94688922584,[17.]
3180,102836.95456632607,[26.]
3181,102836.96224342629,[36.]
3182,102836.96992052649,[58.]
3183,102836.97759762671,[80.]
3184,102836.98527472693,[105.]
3185,102836.99295182715,[132.]
3186,102837.00062892737,[161.]
3187,102837.0083060276,[185.]
3188,102837.0159831278,[207.]
3189,102837.02366022802,[229.]
3190,102837.03133732824,[246.]
3191,102837.03901442846,[249.]
3192,102837.04669152868,[234.]
3193,102837.05436862889,[195.]
3194,102837.06204572911,[129.]
3195,102837.06972282933,[53.]
3196,102837.07739992955,[-7.]
3197,102837.08507702977,[-53.]
3198,102837.09275412999,[-90.]
3199,102837.1004312302,[-110.]
3200,102837.10810833042,[-114.]
3201,102837.11578543064,[-114.]
3202,102837.12346253086,[-112.]
3203,102837.13113963108,[-107.]
3204,102837.1388167313,[-102.]
3205,102837.1464938315,[-95.]
3206,102837.15417093172,[-90.]
3207,102837.16184803194,[-80.]
3208,102837.16952513217,[-70.]
3209,102837.17720223239,[-66.]
3210,102837.18487933259,[-68.]
3211,102837.19255643281,[-78.]
3212,102837.20023353303,[-75.]
3213,102837.20791063325,[-34.]
3214,102837.21558773347,[-9.]
3215,102837.2232648337,[-39.]
3216,102837.2309419339,[-61.]
3217,102837.23861903412,[-48.]
3218,102837.24629613434,[-48.]
3219,102837.25397323456,[-56.]
3220,102837.26165033478,[-53.]
3221,102837.26932743499,[-51.]
3222,102837.27700453521,[-58.]
3223,102837.28468163543,[-56.]
3224,102837.29235873565,[-51.]
3225,102837.30003583587,[-53.]
3226,102837.30771293609,[-56.]
3227,102837.3153900363,[-51.]
3228,102837.32306713652,[-53.]
3229,102837.33074423674,[-53.]
3230,102837.33842133696,[-51.]
3231,102837.34609843718,[-48.]
3232,102837.3537755374,[-41.]
3233,102837.3614526376,[-17.]
3234,102837.36912973782,[2.]
3235,102837.37680683805,[0.]
3236,102837.38448393827,[-19.]
3237,102837.39216103849,[-34.]
3238,102837.39983813869,[-36.]
3239,102837.40751523891,[-39.]
3240,102837.41519233913,[-39.]
3241,102837.42286943935,[-34.]
3242,102837.43054653957,[-31.]
3243,102837.4382236398,[-29.]
3244,102837.44590074,[-29.]
3245,102837.45357784022,[-26.]
3246,102837.46125494044,[-26.]
3247,102837.46893204066,[-29.]
3248,102837.47660914088,[-26.]
3249,102837.48428624109,[-26.]
3250,102837.49196334131,[-29.]
3251,102837.49964044153,[-61.]
3252,102837.50731754175,[-78.]
3253,102837.51499464197,[110.]
3254,102837.52267174219,[577.]
3255,102837.5303488424,[980.]
3256,102837.53802594262,[858.]
3257,102837.54570304284,[198.]
3258,102837.55338014306,[-242.]
3259,102837.56105724328,[-61.]
3260,102837.5687343435,[46.]
3261,102837.5764114437,[-107.]
