,Timestamp,Data
137,1128089.8095906659,[-29.]
138,1128089.8172639343,[-33.]
139,1128089.8249372027,[-33.]
140,1128089.8326104712,[-31.]
141,1128089.8402837396,[-31.]
142,1128089.847957008,[-31.]
143,1128089.8556302765,[-29.]
144,1128089.863303545,[-7.]
145,1128089.8709768134,[89.]
146,1128089.8786500818,[246.]
147,1128089.8863233502,[309.]
148,1128089.8939966187,[53.]
149,1128089.9016698871,[-317.]
150,1128089.9093431556,[-305.]
151,1128089.917016424,[-60.]
152,1128089.9246896924,[-14.]
153,1128089.932362961,[-62.]
154,1128089.9400362293,[-26.]
155,1128089.9477094978,[-12.]
156,1128089.9553827662,[-50.]
157,1128089.9630560346,[-58.]
158,1128089.970729303,[-41.]
159,1128089.9784025715,[-43.]
160,1128089.98607584,[-43.]
161,1128089.9937491084,[-33.]
162,1128090.001422377,[-29.]
163,1128090.0090956455,[-29.]
164,1128090.016768914,[-26.]
165,1128090.0244421824,[-26.]
166,1128090.0321154508,[-26.]
167,1128090.0397887193,[-16.]
168,1128090.0474619877,[-12.]
169,1128090.0551352561,[-12.]
170,1128090.0628085246,[-9.]
171,1128090.070481793,[-4.]
172,1128090.0781550615,[2.]
173,1128090.08582833,[9.]
174,1128090.0935015983,[14.]
175,1128090.1011748668,[16.]
176,1128090.1088481352,[24.]
177,1128090.1165214037,[33.]
178,1128090.124194672,[41.]
179,1128090.1318679405,[41.]
180,1128090.139541209,[38.]
181,1128090.1472144774,[31.]
182,1128090.1548877459,[21.]
183,1128090.1625610143,[12.]
184,1128090.1702342827,[7.]
185,1128090.1779075512,[-2.]
186,1128090.1855808196,[-19.]
187,1128090.193254088,[-31.]
188,1128090.2009273565,[-41.]
189,1128090.208600625,[-48.]
190,1128090.2162738934,[-53.]
191,1128090.2239471618,[-55.]
