Timestamp;Data
884808.73742477;121
884808.745102804;156
884808.752780839;164
884808.760458873;169
884808.768136908;167
884808.775814942;156
884808.783492976;151
884808.791171011;149
884808.798849045;141
884808.80652708;136
884808.814205114;136
884808.821883149;131
884808.829561183;15
884808.837239218;278
884808.844917252;597
884808.852595287;569
884808.860273321;30
884808.867951356;351
884808.87562939;151
884808.883307425;20
884808.890985459;149
884808.898663493;139
884808.906341528;65
884808.914019562;86
884808.921697597;101
884808.929375631;70
884808.937053666;60
884808.9447317;60
884808.952409735;43
884808.960087769;22
884808.967765804;10
884808.975443838;5
884808.983121873;30
884808.990799907;50
884808.998477942;63
884809.006155976;70
884809.013834011;63
884809.021512045;50
884809.029190079;35
884809.036868114;5
884809.044546148;25
884809.052224183;48
884809.059902217;75
884809.067580252;103
884809.075258286;121
884809.082936321;129
884809.090614355;144
884809.09829239;151
884809.105970424;136
884809.113648459;129
884809.121326493;131
884809.129004528;116
884809.136682562;96
884809.144360596;101
884809.152038631;106
884809.159716665;98
884809.1673947;108
884809.175072734;116
884809.182750769;101
884809.190428803;108
884809.198106838;139
884809.205784872;149
884809.213462906;154
884809.221140941;159
884809.228818976;156
884809.23649701;156
884809.244175044;159
884809.251853079;156
884809.259531113;159
884809.267209148;161
884809.274887182;156
884809.282565217;139
884809.290243251;7
884809.297921286;258
884809.30559932;460
884809.313277355;306
884809.320955389;174
884809.328633424;359
884809.336311458;146
884809.343989492;96
884809.351667527;187
884809.359345561;144
884809.367023596;101
884809.37470163;134
884809.382379665;124
884809.390057699;83
884809.397735734;73
884809.405413768;70
884809.413091803;48
884809.420769837;27
884809.428447872;15
884809.436125906;10
884809.44380394;40
884809.451481975;65
884809.45916001;73
884809.466838044;68
884809.474516078;70
884809.482194113;60
884809.489872147;25
884809.497550182;5
884809.505228216;22
884809.512906251;50
884809.520584285;86
884809.52826232;108
884809.535940354;129
884809.543618388;141
884809.551296423;136
884809.558974457;136
884809.566652492;144
884809.574330526;136
884809.582008561;118
884809.589686595;113
884809.59736463;116
884809.605042664;111
884809.612720699;106
884809.620398733;113
884809.628076768;108
884809.635754802;88
884809.643432837;86
884809.651110871;103
884809.658788906;126
884809.66646694;139
884809.674144974;141
884809.681823009;141
884809.689501043;134
884809.697179078;126
884809.704857112;141
884809.712535147;144
884809.720213181;124
884809.727891216;108
884809.73556925;116
884809.743247285;83
884809.750925319;73
884809.758603354;263
884809.766281388;323
884809.773959423;83
884809.781637457;270
884809.789315491;258
884809.796993526;73
884809.80467156;96
884809.812349595;129
884809.820027629;73
884809.827705664;68
884809.835383698;91
884809.843061733;78
884809.850739767;58
884809.858417802;50
884809.866095836;37
884809.873773871;20
884809.881451905;12
884809.88912994;2
884809.896807974;30
884809.904486008;43
884809.912164043;50
884809.919842077;73
884809.927520112;80
884809.935198146;55
884809.942876181;22
884809.950554215;12
884809.95823225;5
884809.965910284;30
884809.973588319;65
884809.981266353;88
884809.988944387;103
884809.996622422;106
884810.004300456;108
884810.011978491;116
884810.019656525;113
884810.02733456;103
884810.035012594;93
884810.042690629;86
884810.050368663;73
884810.058046698;55
884810.065724732;48
884810.073402767;48
884810.081080801;45
884810.088758836;58
884810.09643687;53
884810.104114905;25
884810.111792939;37
884810.119470973;86
884810.127149008;116
884810.134827042;116
884810.142505077;121
884810.150183111;131
884810.157861146;124
884810.16553918;118
884810.173217215;131
884810.180895249;129
884810.188573284;103
884810.196251318;88
884810.203929352;48
884810.211607387;58
884810.219285421;194
884810.226963456;245
884810.234641491;10
884810.242319525;291
884810.249997559;230
884810.257675594;75
884810.265353628;113
884810.273031663;131
884810.280709697;86
884810.288387732;98
884810.296065766;121
884810.303743801;103
884810.311421835;80
884810.319099869;65
884810.326777904;43
884810.334455938;25
884810.342133973;10
884810.349812007;7
884810.357490042;35
884810.365168076;55
884810.372846111;68
884810.380524145;86
884810.38820218;86
884810.395880214;68
884810.403558249;48
884810.411236283;25
884810.418914318;2
884810.426592352;27
884810.434270386;60
884810.441948421;86
884810.449626455;98
884810.45730449;108
884810.464982524;118
884810.472660559;126
884810.480338593;129
884810.488016628;124
884810.495694662;116
884810.503372697;106
884810.511050731;93
884810.518728766;83
884810.5264068;75
884810.534084835;68
884810.541762869;63
884810.549440904;63
884810.557118938;55
884810.564796972;40
884810.572475007;37
884810.580153041;68
884810.587831076;93
884810.59550911;98
884810.603187145;116
884810.610865179;134
884810.618543214;129
884810.626221248;124
884810.633899283;121
884810.641577317;113
884810.649255352;98
884810.656933386;88
884810.66461142;60
884810.672289455;58
884810.679967489;230
884810.687645524;331
884810.695323558;212
884810.703001593;134
884810.710679627;265
884810.718357662;88
884810.726035696;40
884810.733713731;108
884810.741391765;80
884810.7490698;50
884810.756747834;70
884810.764425868;60
884810.772103903;40
884810.779781937;45
884810.787459972;37
884810.795138006;15
884810.802816041;5
884810.810494075;7
884810.81817211;32
884810.825850144;53
884810.833528179;65
884810.841206213;83
884810.848884248;91
884810.856562282;75
884810.864240317;55
884810.871918351;27
884810.879596386;7
884810.88727442;30
884810.894952454;45
884810.902630489;75
884810.910308523;101
884810.917986558;111
884810.925664592;116
884810.933342627;116
884810.941020661;108
884810.948698696;98
884810.95637673;93
884810.964054765;91
884810.971732799;83
884810.979410833;70
884810.987088868;60
884810.994766902;60
884811.002444937;60
884811.010122971;60
884811.017801006;63
884811.02547904;63
884811.033157075;48
884811.040835109;25
884811.048513144;22
884811.056191178;50
884811.063869213;80
884811.071547247;88
884811.079225281;98
884811.086903316;113
884811.09458135;111
884811.102259385;106
884811.109937419;118
884811.117615454;124
884811.125293488;111
884811.132971523;111
884811.140649557;108
